t,x,y,z,vx,vy,vz,target_x,target_y,target_z,dist3,dist_xy
0.13066673278808594,0.0,0.0,2.007999913951197,0.0,0.0,-7.808639280133553e-09,2.0,0.0,2.0,2.00001599959181,2.0
0.14062905311584473,0.0,0.0,2.0079999138710414,0.0,0.0,-7.981790669366188e-09,2.0,0.0,2.0,2.0000159995914895,2.0
0.15067028999328613,0.0,0.0,2.007999913795709,0.0,0.0,-6.90665230949118e-09,2.0,0.0,2.0,2.000015999591188,2.0
0.1606287956237793,0.0,0.0,2.0079999137359814,0.0,0.0,-4.906758178621879e-09,2.0,0.0,2.0,2.000015999590949,2.0
0.1707005500793457,0.0,0.0,2.007999913699849,0.0,0.0,-2.2217880927873063e-09,2.0,0.0,2.0,2.0000159995908047,2.0
0.18062257766723633,0.0,0.0,2.007999913693232,0.0,0.0,9.706987127037124e-10,2.0,0.0,2.0,2.000015999590778,2.0
0.1906578540802002,0.0,0.0,2.007999913720514,0.0,0.0,4.5391632154423255e-09,2.0,0.0,2.0,2.0000159995908873,2.0
0.2006664276123047,0.0,0.0,2.0079999137809468,0.0,0.0,7.082961803976403e-09,2.0,0.0,2.0,2.000015999591129,2.0
0.2107224464416504,0.0,0.0,2.007999913853884,0.0,0.0,7.1483322296518795e-09,2.0,0.0,2.0,2.0000159995914206,2.0
0.2206401824951172,0.0,0.0,2.007999913917767,0.0,0.0,5.3644914906390936e-09,2.0,0.0,2.0,2.0000159995916764,2.0
0.23065757751464844,0.0,0.0,2.007999913956621,0.0,0.0,2.210721413543713e-09,2.0,0.0,2.0,2.000015999591832,2.0
0.24063944816589355,0.0,0.0,2.0079999139586087,0.0,0.0,-1.957917285231428e-09,2.0,0.0,2.0,2.0000159995918394,2.0
0.2506437301635742,0.0,0.0,2.0079999139149636,0.0,0.0,-6.878389050449525e-09,2.0,0.0,2.0,2.000015999591665,2.0
0.26067495346069336,0.0,0.0,2.0079999138231854,0.0,0.0,-1.1052635493084584e-08,2.0,0.0,2.0,2.000015999591298,2.0
