t,detected,confidence,max_objectness,target_source,selection_reason
1783054001.4349244,True,0.9999997615814209,0.9999997615814209,truth,target_distance_terminal
1783054001.4776955,True,0.9999996423721313,0.9999996423721313,truth,target_distance_terminal
1783054001.504007,True,0.999998927116394,0.999998927116394,truth,target_distance_terminal
1783054001.5434582,True,0.9999994039535522,0.9999994039535522,truth,target_distance_terminal
1783054001.5715806,True,0.9999997615814209,0.9999997615814209,truth,target_distance_terminal
1783054001.6020691,True,0.9999996423721313,0.9999996423721313,truth,target_distance_terminal
1783054001.642043,True,0.9999997615814209,0.9999997615814209,truth,target_distance_terminal
1783054001.6848574,True,0.9999998807907104,0.9999998807907104,truth,target_distance_terminal
1783054001.7070541,True,0.9999998807907104,0.9999998807907104,truth,target_distance_terminal
1783054001.740135,True,0.9999998807907104,0.9999998807907104,truth,target_distance_terminal
1783054001.7695787,True,0.9999998807907104,0.9999998807907104,truth,target_distance_terminal
1783054001.8113868,True,0.9999998807907104,0.9999998807907104,truth,target_distance_terminal
1783054001.8373427,True,0.9999998807907104,0.9999998807907104,truth,target_distance_terminal
1783054001.8752534,True,0.9999998807907104,0.9999998807907104,truth,target_distance_terminal
1783054001.9073215,True,1.0,1.0,truth,target_distance_terminal
1783054001.9394383,True,1.0,1.0,truth,target_distance_terminal
1783054001.9685395,True,1.0,1.0,truth,target_distance_terminal
1783054002.0127206,True,1.0,1.0,truth,target_distance_terminal
1783054002.0348485,True,1.0,1.0,truth,target_distance_terminal
1783054002.0705,True,1.0,1.0,truth,target_distance_terminal
1783054002.1008587,True,1.0,1.0,truth,target_distance_terminal
1783054002.1478248,True,1.0,1.0,truth,target_distance_terminal
1783054002.1892135,True,1.0,1.0,truth,target_distance_terminal
1783054002.2247329,True,1.0,1.0,truth,target_distance_terminal
1783054002.25852,True,1.0,1.0,truth,target_distance_terminal
1783054002.2849174,True,1.0,1.0,truth,target_distance_terminal
1783054002.325497,True,1.0,1.0,truth,target_distance_terminal
1783054002.3506477,True,0.9999998807907104,0.9999998807907104,truth,target_distance_terminal
