t,detected,confidence,max_objectness,target_source,selection_reason
1783055774.114184,True,0.9999656677246094,0.9999656677246094,truth,target_distance_terminal
1783055774.1461196,True,0.9999688863754272,0.9999688863754272,truth,target_distance_terminal
1783055774.1796508,True,0.9999804496765137,0.9999804496765137,truth,target_distance_terminal
1783055774.2125175,True,0.9999711513519287,0.9999711513519287,truth,target_distance_terminal
1783055774.2459674,True,0.9999618530273438,0.9999618530273438,truth,target_distance_terminal
1783055774.2803304,True,0.9999731779098511,0.9999731779098511,truth,target_distance_terminal
1783055774.3125596,True,0.9999725818634033,0.9999725818634033,truth,target_distance_terminal
1783055774.3476422,True,0.9999783039093018,0.9999783039093018,truth,target_distance_terminal
1783055774.3806386,True,0.9998810291290283,0.9998810291290283,truth,target_distance_terminal
1783055774.4124587,True,0.9998942613601685,0.9998942613601685,truth,target_distance_terminal
1783055774.447528,True,0.9999420642852783,0.9999420642852783,truth,target_distance_terminal
1783055774.4805784,True,0.9999327659606934,0.9999327659606934,truth,target_distance_terminal
1783055774.5143456,True,0.9999219179153442,0.9999219179153442,truth,target_distance_terminal
1783055774.548269,True,0.9999059438705444,0.9999059438705444,truth,target_distance_terminal
1783055774.5820296,True,0.9999432563781738,0.9999432563781738,truth,target_distance_terminal
1783055774.6148312,True,0.9999257326126099,0.9999257326126099,truth,target_distance_terminal
1783055774.6461606,True,0.9998894929885864,0.9998894929885864,truth,target_distance_terminal
1783055774.681557,True,0.9997333884239197,0.9997333884239197,truth,target_distance_terminal
1783055774.7136793,True,0.9997106194496155,0.9997106194496155,truth,target_distance_terminal
1783055774.7471485,True,0.9993284940719604,0.9993284940719604,truth,target_distance_terminal
1783055774.779832,True,0.9996315240859985,0.9996315240859985,truth,target_distance_terminal
1783055774.814383,True,0.9997954964637756,0.9997954964637756,truth,target_distance_terminal
1783055774.8460646,True,0.9995156526565552,0.9995156526565552,truth,target_distance_terminal
1783055774.8793762,True,0.9995787739753723,0.9995787739753723,truth,target_distance_terminal
1783055774.9207394,True,0.9998376369476318,0.9998376369476318,truth,target_distance_terminal
1783055774.9461029,True,0.9998375177383423,0.9998375177383423,truth,target_distance_terminal
1783055774.9792802,True,0.9998390674591064,0.9998390674591064,truth,target_distance_terminal
1783055775.0148396,True,0.9996305704116821,0.9996305704116821,truth,target_distance_terminal
1783055775.0481985,True,0.9990444779396057,0.9990444779396057,truth,target_distance_terminal
1783055775.079147,True,0.9974736571311951,0.9974736571311951,truth,target_distance_terminal
1783055775.1125157,True,0.9951069355010986,0.9951069355010986,truth,target_distance_terminal
1783055775.1473906,True,0.9988441467285156,0.9988441467285156,truth,target_distance_terminal
1783055775.1800776,True,0.9995290040969849,0.9995290040969849,truth,target_distance_terminal
1783055775.2140443,True,0.9983822107315063,0.9983822107315063,truth,target_distance_terminal
1783055775.2477002,True,0.9983820915222168,0.9983820915222168,truth,target_distance_terminal
1783055775.2816525,True,0.987589418888092,0.987589418888092,truth,target_distance_terminal
1783055775.3145232,True,0.9626760482788086,0.9626760482788086,truth,target_distance_terminal
1783055775.348428,True,0.9956592321395874,0.9956592321395874,truth,target_distance_terminal
1783055775.3807003,True,0.9950122237205505,0.9950122237205505,truth,target_distance_terminal
