t,detected,confidence,max_objectness,target_source,selection_reason
1783054770.9473636,True,0.995302677154541,0.995302677154541,truth,target_distance_terminal
1783054770.988721,False,0.3619369566440582,0.3619369566440582,truth,target_distance_terminal
1783054771.0159328,False,0.16070832312107086,0.16070832312107086,truth,target_distance_terminal
1783054771.0568712,False,0.2187805473804474,0.2187805473804474,truth,target_distance_terminal
1783054771.081065,False,0.45889872312545776,0.45889872312545776,truth,target_distance_terminal
1783054771.1205544,False,0.4576972424983978,0.4576972424983978,truth,target_distance_terminal
1783054771.1563826,False,0.4547542929649353,0.4547542929649353,truth,target_distance_terminal
1783054771.1967216,False,0.4523468315601349,0.4523468315601349,truth,target_distance_terminal
1783054771.214145,False,0.3924853503704071,0.3924853503704071,truth,target_distance_terminal
1783054771.2478232,True,0.9124054312705994,0.9124054312705994,truth,target_distance_terminal
1783054771.2876506,True,0.9489979147911072,0.9489979147911072,truth,target_distance_terminal
1783054771.316839,False,0.21115528047084808,0.21115528047084808,truth,target_distance_terminal
1783054771.3465452,False,0.2974233031272888,0.2974233031272888,truth,target_distance_terminal
1783054771.3813355,True,0.5499469637870789,0.5499469637870789,truth,target_distance_terminal
1783054771.4160507,True,0.6513120532035828,0.6513120532035828,truth,target_distance_terminal
1783054771.4463754,True,0.5771737098693848,0.5771737098693848,truth,target_distance_terminal
1783054771.4804578,True,0.675014078617096,0.675014078617096,truth,target_distance_terminal
1783054771.5137033,False,0.4061081111431122,0.4061081111431122,truth,target_distance_terminal
1783054771.5475895,True,0.8460865616798401,0.8460865616798401,truth,target_distance_terminal
1783054771.5802455,True,0.9449191093444824,0.9449191093444824,truth,target_distance_terminal
1783054771.6143825,True,0.9807569980621338,0.9807569980621338,truth,target_distance_terminal
1783054771.6523306,True,0.9136307835578918,0.9136307835578918,truth,target_distance_terminal
1783054771.6798558,False,0.26133397221565247,0.26133397221565247,truth,target_distance_terminal
1783054771.7136524,False,0.3938438594341278,0.3938438594341278,truth,target_distance_terminal
1783054771.748506,True,0.5058079957962036,0.5058079957962036,truth,target_distance_terminal
1783054771.7823703,True,0.5670716762542725,0.5670716762542725,truth,target_distance_terminal
1783054771.8135214,True,0.9709122180938721,0.9709122180938721,truth,target_distance_terminal
1783054771.8494349,True,0.9961152076721191,0.9961152076721191,truth,target_distance_terminal
1783054771.8792078,True,0.9982079267501831,0.9982079267501831,truth,target_distance_terminal
1783054771.9127944,True,0.991523265838623,0.991523265838623,truth,target_distance_terminal
1783054771.9482083,True,0.9944438338279724,0.9944438338279724,truth,target_distance_terminal
1783054771.9790876,True,0.996322751045227,0.996322751045227,truth,target_distance_terminal
1783054772.0128362,True,0.9711225628852844,0.9711225628852844,truth,target_distance_terminal
1783054772.0478354,True,0.964197039604187,0.964197039604187,truth,target_distance_terminal
1783054772.0807471,True,0.9899557828903198,0.9899557828903198,truth,target_distance_terminal
1783054772.1135638,True,0.9995371103286743,0.9995371103286743,truth,target_distance_terminal
1783054772.1481328,True,0.9999384880065918,0.9999384880065918,truth,target_distance_terminal
1783054772.204721,True,0.9998947381973267,0.9998947381973267,truth,target_distance_terminal
1783054772.2204595,True,0.9998038411140442,0.9998038411140442,truth,target_distance_terminal
1783054772.2477434,True,0.9996036887168884,0.9996036887168884,truth,target_distance_terminal
1783054772.2806098,True,0.9986153841018677,0.9986153841018677,truth,target_distance_terminal
1783054772.320718,True,0.9969542026519775,0.9969542026519775,truth,target_distance_terminal
1783054772.3480058,True,0.9987659454345703,0.9987659454345703,truth,target_distance_terminal
1783054772.3880646,True,0.9991175532341003,0.9991175532341003,truth,target_distance_terminal
