pred_t,truth_t,dt,pred_x,pred_y,pred_z,truth_x,truth_y,truth_z,err_x,err_y,err_z,err_xy,err_3d,err_z_abs
1783054770.9344668,1783054770.9344668,0.0,6.795479165851605,0.4901399171709655,2.214052733119607,7.3000078201293945,0.0,2.0,-0.5045286542777898,0.4901399171709655,0.21405273311960693,0.7034104785910703,0.7352583722391008,0.21405273311960693
1783054770.9678023,1783054770.9678023,0.0,6.90072764502828,0.5044601281735618,2.2000025509453196,7.4000139236450195,0.0,2.0,-0.49928627861673913,0.5044601281735618,0.2000025509453196,0.709765319617575,0.7374061494973266,0.2000025509453196
1783054771.0010953,1783054771.0010953,0.0,7.005842135052599,0.5187621084810562,2.1859702556993255,7.4998931884765625,0.0,2.0,-0.4940510534239637,0.5187621084810562,0.18597025569932546,0.7163801843888755,0.7401253303258252,0.18597025569932546
1783054771.0344741,1783054771.0344741,0.0,7.11122761437382,0.5331009598572961,2.1719017846433,7.600029468536377,0.0,2.0,-0.48880185416255717,0.5331009598572961,0.1719017846433002,0.7232730369877783,0.7434205469295799,0.1719017846433002
1783054771.0678,1783054771.0678,0.0,7.216445983628617,0.5474170740744763,2.157855622003461,7.700007438659668,0.0,2.0,-0.48356145503105097,0.5474170740744763,0.15785562200346082,0.7304088812302378,0.7472720596798111,0.15785562200346082
1783054771.1011314,1783054771.1011314,0.0,7.3216816660884945,0.5617355439432707,2.143807148131314,7.80000114440918,0.0,2.0,-0.4783194783206852,0.5617355439432707,0.14380714813131412,0.7377915319859768,0.7516760209850228,0.14380714813131412
1783054771.1344638,1783054771.1344638,0.0,7.42692035954056,0.5760544234906069,2.1297582723057227,7.899998188018799,0.0,2.0,-0.47307782847823887,0.5760544234906069,0.12975827230572268,0.7454135299421264,0.7566231161235741,0.12975827230572268
1783054771.1677973,1783054771.1677973,0.0,7.53216281673286,0.59037381513612,2.1157088940383253,7.999998569488525,0.0,2.0,-0.4678357527556658,0.59037381513612,0.1157088940383253,0.7532672388700029,0.7621024086790504,0.1157088940383253
1783054771.2011325,1783054771.2011325,0.0,7.637410543161488,0.6046939237190809,2.101658812352399,8.100004196166992,0.0,2.0,-0.4625936530055039,0.6046939237190809,0.10165881235239915,0.761345932663828,0.7681029509855137,0.10165881235239915
1783054771.23447,1783054771.23447,0.0,7.804892385977972,0.2119866559323874,2.706610009211283,8.200016021728516,0.0,2.0,-0.39512363575054366,0.2119866559323874,0.7066100092112828,0.4483982937323967,0.8368743842057145,0.7066100092112828
1783054771.2677965,1783054771.2677965,0.0,7.944496019441958,0.011901528410701995,3.005288029749114,8.299996376037598,0.0,2.0,-0.3555003565956394,0.011901528410701995,1.005288029749114,0.3556995219537658,1.0663611830308684,1.005288029749114
1783054771.3011415,1783054771.3011415,0.0,8.056288901853454,-0.01565299003459735,3.0539938304806813,8.400031089782715,0.0,2.0,-0.34374218792926037,-0.01565299003459735,1.0539938304806813,0.34409839851330054,1.1087410439551506,1.0539938304806813
1783054771.334467,1783054771.334467,0.0,8.168016239563803,-0.04319135313406615,3.1026710747685446,8.500007629394531,0.0,2.0,-0.33199138983072807,-0.04319135313406615,1.1026710747685446,0.3347891514181576,1.1523746244336117,1.1026710747685446
1783054771.3678012,1783054771.3678012,0.0,8.296557961758129,-0.0867052164934255,3.2226136071576548,8.600010871887207,0.0,2.0,-0.30345291012907794,-0.0867052164934255,1.2226136071576548,0.3155969949682316,1.2626897859886372,1.2226136071576548
1783054771.4011292,1783054771.4011292,0.0,8.459656124593376,-0.11753848297963772,3.3542439447876173,8.699995040893555,0.0,2.0,-0.24033891630017834,-0.11753848297963772,1.3542439447876173,0.267540818697818,1.380418324879609,1.3542439447876173
1783054771.434467,1783054771.434467,0.0,8.300152448134758,0.13096841620550465,3.2103222345795532,8.800008773803711,0.0,2.0,-0.49985632566895255,0.13096841620550465,1.2103222345795532,0.5167292060205657,1.3160125318067026,1.2103222345795532
1783054771.4677985,1783054771.4677985,0.0,8.434078529885088,0.07870156764701194,3.3053947239494197,8.900003433227539,0.0,2.0,-0.46592490334245085,0.07870156764701194,1.3053947239494197,0.47252508113831304,1.3882850347172049,1.3053947239494197
1783054771.501128,1783054771.501128,0.0,8.534343753007134,0.06561212208291237,3.3539425515907477,8.999991416931152,0.0,2.0,-0.4656476639240186,0.06561212208291237,1.3539425515907477,0.47024748535438105,1.433280548423854,1.3539425515907477
1783054771.5344715,1783054771.5344715,0.0,8.137633359736599,0.5410425572944216,3.023684134022529,9.100021362304688,0.0,2.0,-0.9623880025680887,0.5410425572944216,1.023684134022529,1.1040460661995417,1.5056051682098257,1.023684134022529
1783054771.5677965,1783054771.5677965,0.0,7.8496894808489,0.935438339554944,2.765717267781767,9.199996948242188,0.0,2.0,-1.3503074673932876,0.935438339554944,0.765717267781767,1.6426731700516037,1.8123736032580477,0.765717267781767
1783054771.6011314,1783054771.6011314,0.0,7.63290014170963,1.198305134897085,2.583990425031677,9.300002098083496,0.0,2.0,-1.667101956373866,1.198305134897085,0.583990425031677,2.053086488501225,2.1345278039404807,0.583990425031677
1783054771.6344664,1783054771.6344664,0.0,7.500990017556183,1.392646405501281,2.4708563413970124,9.400006294250488,0.0,2.0,-1.8990162766943053,1.392646405501281,0.4708563413970124,2.3549366933965636,2.401547943335573,0.4708563413970124
1783054771.667802,1783054771.667802,0.0,7.515383820853824,1.4617277870519103,2.455143552009871,9.500014305114746,0.0,2.0,-1.9846304842609221,1.4617277870519103,0.4551435520098712,2.464833925946618,2.50650392687376,0.4551435520098712
1783054771.7011287,1783054771.7011287,0.0,7.529773712232388,1.530790393802805,2.4394350330132086,9.599993705749512,0.0,2.0,-2.0702199935171235,1.530790393802805,0.43943503301320863,2.57470970233869,2.611940504597359,0.43943503301320863
1783054771.734464,1783054771.734464,0.0,7.476366770688633,1.628882948356268,2.398521154088822,9.699999809265137,0.0,2.0,-2.2236330385765033,1.628882948356268,0.3985211540888218,2.7564113534983816,2.785071392253898,0.3985211540888218
1783054771.7678018,1783054771.7678018,0.0,7.409739559329251,1.730270678612555,2.3545439031643287,9.800013542175293,0.0,2.0,-2.3902739828460415,1.730270678612555,0.3545439031643287,2.950804353788477,2.9720275425385996,0.3545439031643287
1783054771.8011303,1783054771.8011303,0.0,7.320321443070206,1.8720124428123248,2.310567090990164,9.899998664855957,0.0,2.0,-2.579677221785751,1.8720124428123248,0.3105670909901641,3.1873445302703654,3.202439237932628,0.3105670909901641
1783054771.8344774,1783054771.8344774,0.0,7.332687084044791,2.026794959602879,2.301521093091151,10.000040054321289,0.0,2.0,-2.6673529702764984,2.026794959602879,0.30152109309115094,3.350025324727336,3.3635672500922853,0.30152109309115094
1783054771.867796,1783054771.867796,0.0,7.3623863291488405,2.1594669887478353,2.29771534747953,10.099995613098145,0.0,2.0,-2.737609283949304,2.1594669887478353,0.2977153474795302,3.486804019020436,3.499490919431271,0.2977153474795302
1783054771.9011316,1783054771.9011316,0.0,7.333894285141951,2.23434907859216,2.2905920895802265,10.200002670288086,0.0,2.0,-2.866108385146135,2.23434907859216,0.29059208958022653,3.6341289300753514,3.6457285750501534,0.29059208958022653
1783054771.9344642,1783054771.9344642,0.0,7.33138536659293,2.317154821213522,2.293109550279153,10.30000114440918,0.0,2.0,-2.9686157778162494,2.317154821213522,0.2931095502791532,3.765884504571621,3.7772740581320665,0.2931095502791532
1783054771.9678001,1783054771.9678001,0.0,7.366986339993524,2.4054324132163267,2.3226289753498754,10.400008201599121,0.0,2.0,-3.0330218616055973,2.4054324132163267,0.32262897534987545,3.871088568804543,3.8845097712921914,0.32262897534987545
1783054772.0011296,1783054772.0011296,0.0,7.371563815974578,2.470024530879222,2.3435411871296767,10.49999713897705,0.0,2.0,-3.128433323002473,2.470024530879222,0.34354118712967674,3.9859899949218907,4.000767024818102,0.34354118712967674
1783054772.0344665,1783054772.0344665,0.0,7.642618553281207,2.3477050853648853,2.512910462095423,10.600008010864258,0.0,2.0,-2.9573894575830506,2.3477050853648853,0.512910462095423,3.775959688830313,3.8106362610197335,0.512910462095423
1783054772.0678005,1783054772.0678005,0.0,7.940230720045097,2.2180549931752465,2.6585958716414373,10.700010299682617,0.0,2.0,-2.75977957963752,2.2180549931752465,0.6585958716414373,3.540642777933675,3.6013747101734683,0.6585958716414373
1783054772.1011298,1783054772.1011298,0.0,8.283529256391786,2.07501194387854,2.800233179211126,10.799997329711914,0.0,2.0,-2.5164680733201283,2.07501194387854,0.8002331792111259,3.2616385653959448,3.3583715208994467,0.8002331792111259
1783054772.1344705,1783054772.1344705,0.0,8.611960159786122,1.9452283223568976,2.9107350487688826,10.900019645690918,0.0,2.0,-2.288059485904796,1.9452283223568976,0.9107350487688826,3.0031865471759076,3.13824278318208,0.9107350487688826
1783054772.1677945,1783054772.1677945,0.0,9.15723118268413,1.5694080005581168,2.906717589714894,10.999991416931152,0.0,2.0,-1.842760234247022,1.5694080005581168,0.9067175897148938,2.4204972119665755,2.5847521236351376,0.9067175897148938
1783054772.201132,1783054772.201132,0.0,9.20689774941444,1.6938681290017046,3.160704006488344,11.100003242492676,0.0,2.0,-1.8931054930782363,1.6938681290017046,1.160704006488344,2.5402829854901454,2.79289660335803,1.160704006488344
1783054772.23447,1783054772.23447,0.0,9.271024288351633,1.8094354693552086,3.4080463293848586,11.200016975402832,0.0,2.0,-1.928992687051199,1.8094354693552086,1.4080463293848586,2.6448193708564878,2.9962750157740667,1.4080463293848586
1783054772.2678008,1783054772.2678008,0.0,9.632397266270011,1.6656954412261147,3.4494378360318807,11.300009727478027,0.0,2.0,-1.6676124612080159,1.6656954412261147,1.4494378360318807,2.3570050113857874,2.767009697167413,1.4494378360318807
1783054772.3011272,1783054772.3011272,0.0,9.980271234541727,1.5423144630988863,3.4597859070180794,11.399989128112793,0.0,2.0,-1.4197178935710664,1.5423144630988863,1.4597859070180794,2.0962663953824836,2.554468182369565,1.4597859070180794
1783054772.3344636,1783054772.3344636,0.0,9.972664570560342,1.6763274857156663,3.6093285945983498,11.499999046325684,0.0,2.0,-1.5273344757653415,1.6763274857156663,1.6093285945983498,2.26777962779173,2.780784595329005,1.6093285945983498
1783054772.3678024,1783054772.3678024,0.0,9.980185300066754,1.8085162763612526,3.7285167434480044,11.600015640258789,0.0,2.0,-1.6198303401920349,1.8085162763612526,1.7285167434480044,2.4278759138123625,2.980327429201414,1.7285167434480044
1783054772.4011304,1783054772.4011304,0.0,10.425512946313027,1.392527899822971,3.5273361187348624,11.699999809265137,0.0,2.0,-1.2744868629521093,1.392527899822971,1.5273361187348624,1.8877104427382083,2.4282105211894125,1.5273361187348624
1783054772.434469,1783054772.434469,0.0,10.793389540839518,1.0188845588047073,3.3433724711265493,11.800015449523926,0.0,2.0,-1.0066259086844074,1.0188845588047073,1.3433724711265493,1.4322784171401075,1.9636881270675401,1.3433724711265493
1783054772.4677968,1783054772.4677968,0.0,11.122261421441644,0.657973953562413,3.229791682433098,11.899998664855957,0.0,2.0,-0.7777372434143128,0.657973953562413,1.229791682433098,1.0187271191836635,1.5969322232148353,1.229791682433098
1783054772.5011342,1783054772.5011342,0.0,11.372186522706967,0.33097047684688424,3.158154520209501,12.000011444091797,0.0,2.0,-0.6278249213848301,0.33097047684688424,1.158154520209501,0.7097221910410595,1.35831788662957,1.158154520209501
1783054772.5344648,1783054772.5344648,0.0,11.537463631956118,0.05912167813567737,3.10517484572241,12.100003242492676,0.0,2.0,-0.5625396105365574,0.05912167813567737,1.1051748457224102,0.5656378578633156,1.2415142471456997,1.1051748457224102
1783054772.5678012,1783054772.5678012,0.0,11.717603542043616,-0.20955772393768118,2.908050384254433,12.20001220703125,0.0,2.0,-0.48240866498763424,-0.20955772393768118,0.908050384254433,0.5259587053344521,1.0493750807322024,0.908050384254433
1783054772.6011288,1783054772.6011288,0.0,11.86344664349215,-0.46624476446945357,2.724518074907082,12.299994468688965,0.0,2.0,-0.4365478251968149,-0.46624476446945357,0.7245180749070821,0.6387160433864528,0.9658595265080265,0.7245180749070821
1783054772.634466,1783054772.634466,0.0,11.913527274153912,-0.33423549194974306,2.5612451262302467,12.400006294250488,0.0,2.0,-0.48647902009657606,-0.33423549194974306,0.5612451262302467,0.5902331751714839,0.8144760848485467,0.5612451262302467
1783054772.6677995,1783054772.6677995,0.0,11.95874940044431,-0.21872182885213967,2.415998912635956,12.500006675720215,0.0,2.0,-0.5412572752759051,-0.21872182885213967,0.4159989126359558,0.5837796471747893,0.7168359448087261,0.4159989126359558
1783054772.7011306,1783054772.7011306,0.0,11.793579945228434,0.14550859187432336,2.3935963209891433,12.59999942779541,0.0,2.0,-0.8064194825669766,0.14550859187432336,0.3935963209891433,0.8194419638832505,0.909067212074568,0.3935963209891433
1783054772.7344732,1783054772.7344732,0.0,11.64355157017637,0.48575067964011587,2.3772014955475425,12.700027465820312,0.0,2.0,-1.056475895643942,0.48575067964011587,0.37720149554754245,1.16279621638854,1.2224467305738955,0.37720149554754245
1783054772.7677975,1783054772.7677975,0.0,11.507248412174413,0.791323472369589,2.3743701585204042,12.800000190734863,0.0,2.0,-1.2927517785604508,0.791323472369589,0.37437015852040423,1.5157176514424684,1.5612664777304561,0.37437015852040423
1783054772.8011336,1783054772.8011336,0.0,11.401296285274777,1.0634246206604208,2.379042835675142,12.900009155273438,0.0,2.0,-1.498712869998661,1.0634246206604208,0.3790428356751421,1.8376648743789994,1.8763490245162375,0.3790428356751421
1783054772.8344655,1783054772.8344655,0.0,11.32465552703958,1.3049014873492857,2.391307628505928,13.000004768371582,0.0,2.0,-1.6753492413320021,1.3049014873492857,0.39130762850592804,2.1235731614705653,2.1593250408970452,0.39130762850592804
