t,x,y,z,vx,vy,vz,ax,ay,az,yaw,yaw_dot
2.658240556716919,-1.9873815302104242e-05,8.939000119567474e-06,2.008016764182812,-0.0029603596698597094,0.0013319230872835118,0.002511284413438548,-0.2919034413930541,0.1314112215755264,0.24785577239986678,0.031415926535897754,1.5707963267948966
2.6782121658325195,-7.824705784030874e-05,3.470073352706763e-05,2.0080760565769435,-0.008769884342514887,0.0038668309279413075,0.007695954634837635,-0.5797519905235214,0.25291885081128695,0.47411631820252303,0.06283185307179551,1.5707963267948966
2.6982929706573486,-0.000387519428518589,0.00017020672236997276,2.0083389522065875,-0.023032763627999712,0.010054583981287071,0.019285963656285484,-0.8423857100555621,0.36416790006746774,0.6818302739214488,0.09424777960769326,1.5707963267948966
2.7182364463806152,-0.0002038948166168183,8.963372870387681e-05,2.0082992353299707,-0.01986987326366653,0.008543482299001462,0.019974446042838646,-1.073903308428155,0.4520027106100163,0.8741074080343361,0.12566370614359101,1.5707963267948966
2.738332986831665,-0.0008303730341873549,0.0003563377564809017,2.0088854947311106,-0.043474312404589696,0.018391681965104437,0.03923464781786955,-1.2828220690593422,0.5314347472432794,1.0490605555058716,0.15707963267948877,1.5707963267948966
2.7582809925079346,-0.0004401575083932467,0.00020084983383568218,2.008860920250774,-0.0323363406856678,0.013647255707956827,0.037848838811130235,-1.4645613280479126,0.5759168060124575,1.204381353356586,0.18849555921538652,1.5707963267948966
2.778292655944824,-0.001390900130721705,0.0005916645316475883,2.00986834359795,-0.0632764685281907,0.02556394115370017,0.06335911697881873,-1.6261341808144656,0.6148374535192687,1.344074144910208,0.21991148575128427,1.5707963267948966
2.7982614040374756,-0.0013801132975607875,0.0006604130523738267,2.010667367673104,-0.05785602914561499,0.0251123777544256,0.07365772228421635,-1.8259084499011067,0.7293785809945919,1.5013000542577273,0.25132741228718203,1.5707963267948966
2.8181755542755127,-0.0030322561457314856,0.001455229271654172,2.013161539283771,-0.08859971763582694,0.039919342254534564,0.10675712109668416,-2.0051804493631957,0.8594271400071277,1.3859626081258436,0.2827433388230798,1.5707963267948966
2.8382747173309326,-0.0052160675123068935,0.0024335573220277597,2.015566402455981,-0.13030124888532876,0.05830615558257232,0.13335919707019403,-2.1611399459493614,0.9772399976074874,1.2749616793372083,0.31415926535897754,1.5707963267948966
2.858283281326294,-0.00587969843997771,0.00278654003565309,2.016823870568834,-0.130088690623837,0.06098995627722982,0.14181304227167302,-2.064573707290846,1.0866340762620523,1.1735872972153139,0.3455751918948753,1.5707963267948966
2.878396987915039,-0.008887867866438576,0.004230390491253086,2.019888282390562,-0.17040097776149798,0.08372197277181032,0.16430298292684153,-1.9663928120696712,1.1847038561987069,1.0760391381130252,0.37699111843077304,1.5707963267948966
2.8982720375061035,-0.01182388631944846,0.005474368444222237,2.0236653591872997,-0.18922624202536675,0.08945255412510586,0.19283294315558672,-1.8933873527812608,1.0564364933716306,1.023937166765918,0.4084070449666708,1.5707963267948966
2.918280601501465,-0.015982136999808175,0.007466434212060175,2.0277233330211275,-0.2263498684267166,0.10934499129755151,0.2127908446812795,-1.8187012999126837,0.933725533529127,0.9718588948141671,0.43982297150256855,1.5707963267948966
2.9382164478302,-0.023543738098621248,0.01068712985005351,2.0350764354041946,-0.28280321409883413,0.12815198838952138,0.2537569451986466,-1.9026027544286612,0.806407782714949,1.0032037237698104,0.4712388980384663,1.5707963267948966
2.958357810974121,-0.029585196157062357,0.013403261688028186,2.0403539846688585,-0.32157442788288126,0.14305664251072353,0.2740812085017241,-1.9721600134553463,0.6850400664765619,1.0281747893018145,0.5026548245743641,1.5707963267948966
2.978245258331299,-0.033127546973964514,0.015052099693827443,2.0432787185986485,-0.34950553396666334,0.1507432588164106,0.2881999780323243,-2.1801474513596517,0.08337352003981116,1.058061670712332,0.4712388980384663,-1.5707963267948966
2.9982340335845947,-0.04884791996565185,0.022459777136119498,2.055708407784899,-0.4345864973146377,0.18251653734695303,0.33382728175046095,-2.0198692875319675,-0.645241741750056,1.3390269122942395,0.5026548245743641,1.5707963267948966
3.01829195022583,-0.0579329675097782,0.025935338690284797,2.062670145845738,-0.4733859533455359,0.16280048654830684,0.36319378455332624,-1.8601791233661733,-1.3170045167512774,1.5932160517386147,0.4712388980384663,-1.5707963267948966
3.038236141204834,-0.06282208442426053,0.028938967738326913,2.066171122654145,-0.4941707198139415,0.19540082879333956,0.37351479724377373,-1.8450378166591994,-0.865820057532429,1.671725392363387,0.5026548245743641,1.5707963267948966
3.058342218399048,-0.07307305702778848,0.032702242200112315,2.0739803696635954,-0.5308468715957197,0.18232046113147354,0.4076298860185343,-1.8211418540969617,-0.4476537342363125,1.737725457933305,0.4712388980384663,-1.5707963267948966
3.0783262252807617,-0.07889705121040864,0.03626746514572814,2.0776177714279944,-0.5633739318113533,0.2310468328645699,0.4101778905363558,-2.0556616788465503,0.14324085247515497,1.7098283972392785,0.5026548245743641,1.5707963267948966
3.0981602668762207,-0.09710149061405937,0.0433859652119127,2.0903802127552726,-0.6365951190797485,0.23866409292237,0.4531774994646688,-2.2116097560715953,0.4509071409464622,1.7172908567253782,0.5340707511102618,1.5707963267948966
3.118220806121826,-0.11028487771618502,0.04826856291234453,2.099787344011583,-0.6821814934894839,0.2505297864812044,0.4875356343177248,-2.3429922246421704,0.7311519444683403,1.717296664348243,0.5275710551421935,-0.324984798403416
3.138270854949951,-0.12448938212711422,0.05202582663911089,2.109476416417615,-0.7298046500623475,0.22721023450806033,0.513355684259678,-2.3149284893976576,0.6686950262093947,1.9612101302817393,0.5589869816780917,1.5707963267948966
3.1582748889923096,-0.13954580065811678,0.05669962062741921,2.120150667436565,-0.7756913047373063,0.2399619491580424,0.554791751824074,-2.2711685144840446,0.6065317511576747,2.1779222178756585,0.5275710551421939,-1.5707963267948966
3.178265333175659,-0.14732304079366126,0.058083378749982005,2.1254252551162116,-0.7979033314177327,0.21844273666328584,0.563221656245911,-2.507484626228896,0.7564083142878191,1.8796263237040909,0.5589869816780917,1.5707963267948966
3.1981706619262695,-0.18112347166433748,0.06662195047366282,2.1492327667966853,-0.894145907800815,0.2223620604516707,0.6324938456682283,-2.405319822824208,-0.16642483066681665,1.5939277550887703,0.5275710551421939,-1.5707963267948966
3.2182676792144775,-0.199480018796371,0.07097785092240376,2.1621831195130126,-0.9411268818225563,0.2103821943886418,0.6616380772693048,-2.2907508803283174,-1.0201897018335293,1.3229180460697774,0.5589869816780917,1.5707963267948966
3.2383081912994385,-0.20899355256214816,0.07341072588307031,2.169031218772991,-0.9604859270286522,0.20512610089602973,0.6775132773404952,-1.8714552035978373,-1.977993419166912,1.081930882438998,0.5275710551421939,-1.5707963267948966
3.2582526206970215,-0.22855020226353348,0.07705769993190119,2.182782444971479,-0.9938208834450314,0.1566380133766415,0.6968486131202117,-1.4640054409172987,-2.8580129283456843,0.8537075810583419,0.4961551286062962,-1.5707963267948966
3.2782208919525146,-0.24948820979754274,0.08315376828559781,2.19742446763991,-1.0392734273445474,0.18809577283346857,0.7245730107662903,-0.8187761991154714,-3.3030094260181917,0.6481108906385143,0.5275710551421939,1.5707963267948966
3.2981491088867188,-0.2822429066449534,0.09022465178234038,2.2194490873845845,-1.0967299321905721,0.17419204445898512,0.7425912826272593,-0.4821121864913481,-2.9651510104629115,0.4586761716493467,0.5589869816780917,1.5707963267948966
3.3183295726776123,-0.30425200045128054,0.09313694340459307,2.2343805511321437,-1.1030916509975,0.11809403192381755,0.7499589935157474,-0.15577114406395637,-2.648067761306377,0.2798427833019732,0.5275710551421939,-1.5707963267948966
3.3381733894348145,-0.328478996361855,0.09746397130815386,2.2495123247120463,-1.1570039803657262,0.11478847342074104,0.7560975795445475,0.15741675614491868,-3.4050360409313307,0.12407987320679288,0.4961551286062962,-1.5707963267948966
3.3582799434661865,-0.35156717398973897,0.09903163745196315,2.264649162789337,-1.1508004953228324,0.039678689362057006,0.757097240651097,0.46140403001215996,-4.0948998296829195,-0.022619682652079996,0.4647392020703984,-1.5707963267948966
3.3782284259796143,-0.36441535731202196,0.09992152372687987,2.27238419541679,-1.1827379473067212,0.012755735613954298,0.7608631697413993,0.6944219735459661,-4.851971481780935,-0.15092603828277365,0.4333232755345007,-1.5707963267948966
3.3981683254241943,-0.40099701876294674,0.0998669391853537,2.295632165532684,-1.1999849831612523,-0.08674626462534225,0.7691623548434426,0.9070608253720731,-5.440489553019973,-0.35033395304131193,0.4019073489986029,-1.5707963267948966
3.4183461666107178,-0.4248012061510452,0.09700775278751174,2.31093279067823,-1.1797300773104864,-0.20093008923698386,0.7602845384191103,1.1181620369204448,-5.967830538766112,-0.5350266380627933,0.37049142246270517,-1.5707963267948966
3.438209056854248,-0.4376661001602023,0.09670085485444031,2.319246260748549,-1.198136895239273,-0.20731678131336229,0.7747408501635061,1.3509572356246533,-6.432205762351689,-0.7387451197287315,0.3390754959268074,-1.5707963267948966
