action_id,score,objectness,target_u,target_v,target_depth,end_x_rel,end_y_rel,end_z_rel,end_x_world,end_y_world,end_z_world,pred_target_x_world,pred_target_y_world,pred_target_z_world,dist_end_to_true_root,dist_end_to_pred_target,bearing_end_deg,bearing_pred_target_deg,is_min_score,is_max_objectness,is_paper,is_requested
0,2.741849660873413,5.982883976685116e-06,15.55698299407959,21.377912521362305,1.7419836521148682,0.5687969326972961,0.7023753523826599,0.6324808597564697,0.5687969326972961,0.7023753523826599,2.6404807726410593,1.7419836521148682,1.4032335264659224,2.535945552518461,2.7548589605844898,1.3705826757416604,50.998788684817306,38.85275433659241,False,False,False,False
1,4.689773082733154,3.2433799788123e-05,48.730369567871094,19.53986930847168,1.843085527420044,0.080502450466156,0.05227876082062721,0.06721042096614838,0.080502450466156,0.05227876082062721,2.075210333850738,1.843085527420044,0.720407541215377,2.610050489111217,2.552321424607436,1.9593746864842019,32.9999290224251,21.349056272346548,False,False,False,False
2,2.7288875579833984,0.0018034417880699039,83.5157470703125,18.30327796936035,1.9870823621749878,0.020958196371793747,0.005586187355220318,0.015187423676252365,0.020958196371793747,0.005586187355220318,2.023187336560842,1.9870823621749878,-0.08732598741607944,2.6886135818646832,2.5635016656471032,2.0777557593507487,14.924615017419855,-2.5163492331297825,False,False,False,False
3,3.7078182697296143,7.553739465038234e-07,107.87191772460938,19.00486183166504,1.4783461093902588,0.32365119457244873,-0.20983093976974487,0.27008262276649475,0.32365119457244873,-0.20983093976974487,2.2780825356510843,1.4783461093902588,-0.5150542641177708,2.5010546227026467,2.530749898947395,1.2149889611170546,-32.956322338969066,-19.208284146535615,False,False,False,False
4,3.137906312942505,6.16549514234066e-05,140.82403564453125,18.00066375732422,1.800621747970581,0.5215588808059692,-0.641045093536377,0.578560471534729,0.5215588808059692,-0.641045093536377,2.5865603844193186,1.800621747970581,-1.3690135172610098,2.6317382493106902,2.7211992026278087,1.4724064940007657,-50.8679510437774,-37.24574407980243,False,False,False,False
5,3.108755588531494,2.6087218429893255e-06,14.966952323913574,43.735225677490234,1.6488721370697021,0.2428244948387146,0.2998623847961426,0.10338383167982101,0.2428244948387146,0.2998623847961426,2.1113837445644106,1.6488721370697021,1.3403897537728056,2.0347562634868077,2.4754145427120813,1.750868055756662,50.99991651107686,39.108112887816944,False,False,False,False
6,3.537353754043579,3.535337782523129e-06,48.07868576049805,42.468711853027344,1.765532374382019,0.014856255613267422,0.009647097438573837,0.004746364429593086,0.014856255613267422,0.009647097438573837,2.0127462773141827,1.765532374382019,0.7044764215332805,2.065338122760039,2.5616158635184867,1.8842559711080997,32.99818854541896,21.752811528484692,False,False,False,False
7,2.7531027793884277,0.9755925536155701,80.91288757324219,45.4694709777832,2.2531862258911133,0.1624859720468521,0.04302545636892319,0.04503197595477104,0.1624859720468521,0.04302545636892319,2.0530318888393606,2.2531862258911133,-0.02571132132270577,1.9944282614709494,2.476158210932282,2.092650635240537,14.831246110251374,-0.653779188076682,False,True,True,True
8,3.2527647018432617,1.6141530068125576e-06,107.97888946533203,45.312007904052734,1.5728635787963867,0.08058515191078186,-0.052190687507390976,0.02572566457092762,0.08058515191078186,-0.052190687507390976,2.033725577455517,1.5728635787963867,-0.5500872026898833,2.0017036404550557,2.5251204244463583,1.5734742602369787,-32.92896873589016,-19.276575795511675,False,False,False,False
9,3.1648194789886475,1.752455318637658e-05,140.05690002441406,40.85197448730469,1.9490058422088623,1.0692031383514404,-1.3128842115402222,0.4536229968070984,1.0692031383514404,-1.3128842115402222,2.461622909691688,1.9490058422088623,-1.4631406126567073,2.1117244292856876,2.620293757587113,0.9586755083873462,-50.84088490812319,-36.89596979303393,False,False,False,False
10,2.4186949729919434,1.100449026125716e-05,13.03854751586914,77.23724365234375,1.6344494819641113,0.03848029300570488,0.04751778393983841,-0.005352088250219822,0.03848029300570488,0.04751778393983841,2.0026478246343697,1.6344494819641113,1.3680638915531518,1.3319850221066396,2.5373625784243075,2.17732594462372,50.9991623367336,39.92994374419031,False,False,False,False
11,2.237161874771118,0.0012087805662304163,48.53553009033203,74.3439712524414,2.0169403553009033,0.00917507242411375,0.00595732219517231,-0.0009573239949531853,0.00917507242411375,0.00595732219517231,2.0070425888896364,2.0169403553009033,0.7932744889870036,1.2486554981569238,2.562415084149447,2.28607539937782,32.99543390366168,21.470005796085033,True,False,False,False
12,3.5705580711364746,0.002634054282680154,85.04288482666016,72.71459197998047,2.128669023513794,0.054347530007362366,0.014540736563503742,-0.004924305714666843,0.054347530007362366,0.014540736563503742,2.0030756071699227,2.128669023513794,-0.13418290899574004,1.2510912280494342,2.5249837579058507,2.2114268895019817,14.978711987583766,-3.6069278360346284,False,False,False,False
13,2.3319270610809326,4.5670544750464614e-06,106.8606948852539,73.55392456054688,1.512819766998291,0.0280824676156044,-0.01763043738901615,-0.0029009641148149967,0.0280824676156044,-0.01763043738901615,2.0050989487697746,1.512819766998291,-0.507942377221525,1.4537828950284895,2.5465769024399845,1.6579505534343826,-32.12098882011815,-18.559923919823742,False,False,False,False
14,3.9959495067596436,0.0001663279690546915,142.6125946044922,67.1549072265625,1.817893385887146,0.20547111332416534,-0.25236597657203674,-0.028475821018218994,0.20547111332416534,-0.25236597657203674,1.9795240918663706,1.817893385887146,-1.4227877700592444,1.4912680949839354,2.4080164943718945,2.051386525796306,-50.84823782687154,-38.04877424889413,False,False,False,False
