t,selected_action,selection_reason,target_source,min_score,selected_score,max_objectness,selected_objectness,selected_terminal_distance,selected_terminal_progress,selected_terminal_lateral_error,detected,confidence
2.5323331356048584,7,target_distance_terminal,detector,1.623971939086914,1.7626694440841675,0.953299880027771,0.953299880027771,2.0016675966633337,0.20128338725177342,0.061069048713017875,True,0.953299880027771
2.5627379417419434,7,target_distance_terminal,detector,1.6164608001708984,1.7450662851333618,0.962670087814331,0.962670087814331,2.020602753111778,0.20874145414150314,0.06305967751412055,True,0.962670087814331
2.5974483489990234,7,target_distance_terminal,detector,1.609633207321167,1.726207971572876,0.9636393785476685,0.9636393785476685,2.0330504845995256,0.21435925113641813,0.0645580477446858,True,0.9636393785476685
2.6253719329833984,7,target_distance_terminal,detector,1.5930335521697998,1.6929240226745605,0.9615517258644104,0.9615517258644104,2.046792273016231,0.21673935644723197,0.06495626195332528,True,0.9615517258644104
2.6599414348602295,7,target_distance_terminal,detector,1.5779668092727661,1.668826699256897,0.9654534459114075,0.9654534459114075,2.065901713768575,0.21156231510454124,0.0632317582136652,True,0.9654534459114075
2.6911203861236572,7,target_distance_terminal,detector,1.5782305002212524,1.6678690910339355,0.9562951922416687,0.9562951922416687,2.086154381144206,0.20557948757441902,0.061153179467876496,True,0.9562951922416687
2.7240288257598877,7,target_distance_terminal,detector,1.5457638502120972,1.6105910539627075,0.9599035978317261,0.9599035978317261,2.087813400961095,0.21903156280895228,0.06497749500148131,True,0.9599035978317261
2.759448289871216,7,target_distance_terminal,detector,1.5648269653320312,1.6388955116271973,0.9617663621902466,0.9617663621902466,2.106764635061456,0.21422974308108592,0.06346621003918343,True,0.9617663621902466
2.7913694381713867,7,target_distance_terminal,detector,1.5622066259384155,1.6411558389663696,0.97380131483078,0.97380131483078,2.112446589957987,0.2227782971716564,0.06614598066041882,True,0.97380131483078
2.8284366130828857,7,target_distance_terminal,detector,1.5937997102737427,1.6874722242355347,0.9767675995826721,0.9767675995826721,2.125854842932492,0.22256453550778724,0.06614029054672388,True,0.9767675995826721
