t,x,y,z,vx,vy,vz,target_x,target_y,target_z,dist3,dist_xy
0.1282215118408203,0.0,0.0,2.0079999134570374,0.0,0.0,-5.1486022141729425e-09,2.0,0.0,2.0,2.0000159995898334,2.0
0.13820672035217285,0.0,0.0,2.0079999134011013,0.0,0.0,-5.775275254862857e-09,2.0,0.0,2.0,2.0000159995896096,2.0
0.14818835258483887,0.0,0.0,2.00799991334607,0.0,0.0,-5.036113950276443e-09,2.0,0.0,2.0,2.0000159995893894,2.0
0.15818381309509277,0.0,0.0,2.0079999133037414,0.0,0.0,-3.2851177117731153e-09,2.0,0.0,2.0,2.00001599958922,2.0
0.1681969165802002,0.0,0.0,2.0079999132828585,0.0,0.0,-7.845356746226414e-10,2.0,0.0,2.0,2.0000159995891367,2.0
0.17821598052978516,0.0,0.0,2.0079999132898965,0.0,0.0,2.2713531612045595e-09,2.0,0.0,2.0,2.0000159995891647,2.0
0.18816375732421875,0.0,0.0,2.007999913329654,0.0,0.0,5.738623420567162e-09,2.0,0.0,2.0,2.0000159995893236,2.0
0.19820737838745117,0.0,0.0,2.007999913404475,0.0,0.0,8.914475249216418e-09,2.0,0.0,2.0,2.000015999589623,2.0
0.20822358131408691,0.0,0.0,2.007999913499254,0.0,0.0,9.651766550668126e-09,2.0,0.0,2.0,2.000015999590002,2.0
0.2182013988494873,0.0,0.0,2.0079999135907824,0.0,0.0,8.365697025312846e-09,2.0,0.0,2.0,2.000015999590368,2.0
0.2281808853149414,0.0,0.0,2.0079999136615836,0.0,0.0,5.580684956924105e-09,2.0,0.0,2.0,2.0000159995906515,2.0
0.23818635940551758,0.0,0.0,2.007999913698705,0.0,0.0,1.6852289754511518e-09,2.0,0.0,2.0,2.0000159995908,2.0
0.2482006549835205,0.0,0.0,2.0079999136925535,0.0,0.0,-3.032864162281126e-09,2.0,0.0,2.0,2.0000159995907754,2.0
0.25822019577026367,0.0,0.0,2.0079999136372315,0.0,0.0,-7.764204601998634e-09,2.0,0.0,2.0,2.000015999590554,2.0
0.2681910991668701,0.0,0.0,2.0079999135452096,0.0,0.0,-1.0282686488279595e-08,2.0,0.0,2.0,2.000015999590186,2.0
0.2782120704650879,0.0,0.0,2.0079999134377466,0.0,0.0,-1.0945011690337358e-08,2.0,0.0,2.0,2.000015999589756,2.0
0.288193941116333,0.0,0.0,2.0079999133308797,0.0,0.0,-1.023226218303735e-08,2.0,0.0,2.0,2.0000159995893285,2.0
0.29818248748779297,0.0,0.0,2.0079999132364876,0.0,0.0,-8.50083223231118e-09,2.0,0.0,2.0,2.000015999588951,2.0
0.30826735496520996,0.0,0.0,2.007999913163371,0.0,0.0,-6.0147452670300005e-09,2.0,0.0,2.0,2.000015999588659,2.0
0.31820058822631836,0.0,0.0,2.00799991311805,0.0,0.0,-2.9695946035743654e-09,2.0,0.0,2.0,2.000015999588477,2.0
0.3282041549682617,0.0,0.0,2.0079999131053548,0.0,0.0,4.897206124969895e-10,2.0,0.0,2.0,2.0000159995884266,2.0
0.33825182914733887,0.0,0.0,2.007999913128864,0.0,0.0,4.255856471449099e-09,2.0,0.0,2.0,2.0000159995885207,2.0
0.34819579124450684,0.0,0.0,2.007999913191228,0.0,0.0,8.249290656233189e-09,2.0,0.0,2.0,2.0000159995887703,2.0
0.35817861557006836,0.0,0.0,2.0079999132932,0.0,0.0,1.1814934316948731e-08,2.0,0.0,2.0,2.000015999589178,2.0
0.3681826591491699,0.0,0.0,2.0079999134184994,0.0,0.0,1.2840990424645915e-08,2.0,0.0,2.0,2.0000159995896793,2.0
0.3782060146331787,0.0,0.0,2.0079999135430455,0.0,0.0,1.1768843168582748e-08,2.0,0.0,2.0,2.000015999590177,2.0
0.3881978988647461,0.0,0.0,2.0079999136487094,0.0,0.0,9.14230872079075e-09,2.0,0.0,2.0,2.0000159995906,2.0
0.3981621265411377,0.0,0.0,2.0079999137220628,0.0,0.0,5.3642558816922495e-09,2.0,0.0,2.0,2.0000159995908935,2.0
0.40839242935180664,0.0,0.0,2.007999913753158,0.0,0.0,7.331371508869249e-10,2.0,0.0,2.0,2.000015999591018,2.0
0.4181942939758301,0.0,0.0,2.007999913735834,0.0,0.0,-3.9337710978316135e-09,2.0,0.0,2.0,2.0000159995909486,2.0
0.42819905281066895,0.0,0.0,2.0079999136823656,0.0,0.0,-6.404520459172601e-09,2.0,0.0,2.0,2.0000159995907345,2.0
0.43820786476135254,0.0,0.0,2.0079999136138693,0.0,0.0,-7.03148447996563e-09,2.0,0.0,2.0,2.0000159995904605,2.0
0.44818925857543945,0.0,0.0,2.007999913546274,0.0,0.0,-6.292538691964477e-09,2.0,0.0,2.0,2.00001599959019,2.0
0.45819830894470215,0.0,0.0,2.0079999134913815,0.0,0.0,-4.541702056041461e-09,2.0,0.0,2.0,2.0000159995899707,2.0
0.46819305419921875,0.0,0.0,2.0079999134579336,0.0,0.0,-2.0412382792609543e-09,2.0,0.0,2.0,2.000015999589837,2.0
