t,x,y,z,vx,vy,vz,ax,ay,az,yaw,yaw_dot
3.454158306121826,8.412478937288208e-08,5.7094558702271226e-08,2.0080018611518264,1.2543147777130398e-05,8.509784524022548e-06,0.0002912476926651468,0.0012392400513629468,0.0008401187675034515,0.028935655627115385,0.031415926535897754,1.5707963267948966
3.4740207195281982,3.283116060780299e-07,2.1671022494803231e-07,2.008007555173785,3.678000518500521e-05,2.405510062184004e-05,0.0008559588222496497,0.0024239323766509007,0.0015553612601652144,0.05647544973642197,0.06283185307179551,1.5707963267948966
3.4939253330230713,5.778486079821097e-07,3.9174757764810233e-07,2.007975219513912,5.964848897659213e-05,4.103194309308265e-05,0.00018676775428293205,0.003437158695950509,0.0024670636574613473,0.08307055051360301,0.09424777960769326,1.5707963267948966
3.5139055252075195,2.521531965379503e-06,1.763206184544797e-06,2.007997287881928,0.00013781391430458775,9.892861734193363e-05,0.002105118319746657,0.0043654180298254245,0.003311494035287059,0.10858554327065993,0.07392946823361823,-1.0159155687037513
3.5339372158050537,1.2987857804424346e-06,9.44432427623381e-07,2.0078707598560963,0.00010827607352840184,7.666750839903193e-05,-0.0010057711616585417,0.005362607271752963,0.003547439213340625,0.13244846462287288,0.10534539476951599,1.5707963267948966
3.554370641708374,4.5990963902950135e-06,3.2008694068876294e-06,2.007878674173036,0.00022479923947040417,0.00014962106728765438,0.0018733638722825364,0.006275921074140779,0.0037409184232334415,0.1552969696850884,0.13322625559221546,1.3940430411349736
3.5740625858306885,3.38381919691568e-06,2.0589866717329958e-06,2.007767184648914,0.00021278445924392212,0.0001029017034877054,-0.00020514511450983144,0.01027204996682292,0.003155921380416926,0.17775907015012893,0.1646421821281132,1.5707963267948966
3.593949317932129,5.495675324844275e-06,4.859381520423298e-06,2.0077562538306193,-0.00031884339446929465,-4.9071166383636996e-05,0.003504503649215712,-0.05781115037475134,-0.019373912906044014,0.17623193169202453,0.13322625559221546,-1.5707963267948966
3.614057779312134,-1.6843170015243835e-05,-1.4565820646286027e-06,2.0078614854663277,-0.0021327253116197576,-0.0006548137296559213,0.007013369054893349,-0.12311696650557084,-0.041060636466241286,0.17464469163117988,0.1018103290563177,-1.5707963267948966
3.6340622901916504,-4.63480383437045e-06,5.319130607915876e-06,2.0078254987664295,-0.002249649035138072,-0.0007758075362432473,0.004282339564585974,-0.13185652909415504,-0.05842908774966601,0.20104145498643455,0.07039440252041995,-1.5707963267948966
3.6540567874908447,-7.656030693558928e-05,-2.300530032414217e-05,2.0079530543247905,-0.004970607101225594,-0.0021121720541053086,0.008557258416959526,-0.14016834942383535,-0.07509017846354368,0.22625434383417015,0.0389784759845222,-1.5707963267948966
3.674076557159424,-5.514596287252643e-06,3.220996682863703e-06,2.007658017732595,-0.0025851861924513046,-0.0013598376729765833,-0.0014004563549366437,-0.1308015392235808,-0.08058712406782555,0.2421118217087682,0.007562549448624445,-1.5707963267948966
3.694047451019287,-6.833538930979121e-05,-1.2366131784007436e-05,2.0067912498193228,-0.004425810682658324,-0.0021060709318056667,-0.015739661935425597,-0.130881154383007,-0.08443419789705861,0.2611530475009579,-0.02385337708727331,-1.5707963267948966
3.713974952697754,-0.00018302942697767053,-7.162041031582988e-05,2.0065299104027705,-0.007043610809991394,-0.003831484897700056,-0.010333883980612782,-0.1308864713474762,-0.08807263213580338,0.2792719545318824,-0.05526930362317106,-1.5707963267948966
3.734008550643921,-0.0003059309241707658,-0.00010570662198649338,2.005967698439131,-0.008761795510362567,-0.004233571972604207,-0.014102824748227074,-0.1362838149421778,-0.09491097080476785,0.2944993130081138,-0.08668523015906882,-1.5707963267948966
3.7540671825408936,-0.0005087686558267218,-0.00020979859958004403,2.005745516932114,-0.011538985806022145,-0.006197252614390109,-0.008067232415792786,-0.14138630704646207,-0.10139909288508443,0.30892753518452076,-0.11810115669496657,-1.5707963267948966
3.7740044593811035,-0.0006286649495879798,-0.0002552907534284556,2.005496452640823,-0.012892066987267992,-0.0066222819910998236,-0.01015817788950487,-0.14272781352899216,-0.10243534198159206,0.3246790493727934,-0.14951708323086432,-1.5707963267948966
3.793936014175415,-0.0010658573983228666,-0.000480549004330256,2.005125214993722,-0.01668310100568537,-0.00917324802973945,-0.006382760026172607,-0.13369448833148387,-0.10479124276305705,0.3358481950405349,-0.18093300976676208,-1.5707963267948966
3.8141071796417236,-0.0014256672629211762,-0.0006851212384015792,2.0050654401471144,-0.019268517416499244,-0.011291293612676624,0.0004402501225149067,-0.12488402231047077,-0.10698674603224323,0.3463407634666826,-0.21234893630265983,-1.5707963267948966
3.8339643478393555,-0.0016113307192732102,-0.0007918549590598043,2.004917574090303,-0.02057840047438114,-0.012220517517634514,-0.0008312485345623354,-0.1778854833270386,-0.12855317791256668,0.33630512087593645,-0.24376486283855758,-1.5707963267948966
3.854034423828125,-0.0020618916979394017,-0.0010633723048971756,2.004967548135671,-0.024646545189714864,-0.015000349497285131,0.005795669535600091,-0.22854030768833553,-0.14929306829989997,0.3264100466370515,-0.27518078937445534,-1.5707963267948966
3.8739705085754395,-0.002532130408653583,-0.001353181921643276,2.0051058396667725,-0.027546012861840802,-0.016598074881463497,0.011940328669617665,-0.2681789341193291,-0.11520357860986899,0.3314936260617922,-0.3065967159103531,-1.5707963267948966
3.8939883708953857,-0.003370313846564155,-0.0018855280673232505,2.005740078791426,-0.03262450413478498,-0.01950871730175724,0.025696384704335256,-0.2894419455617574,-0.09587871152654842,0.3340300014898372,-0.33801264244625084,-1.5707963267948966
3.9139902591705322,-0.004082056497252545,-0.0022936219775759356,2.006320961881087,-0.038617086570657766,-0.021238397327586866,0.032399068372025004,-0.3096398506054966,-0.07719567522325005,0.33617332889978996,-0.3694285689821486,-1.5707963267948966
3.9339423179626465,-0.004385417912363605,-0.0025342949791060825,2.0068513441998075,-0.03930522940866959,-0.022602304947497317,0.04118613345734748,-0.35132449661014,-0.05616401176051158,0.3277761923384173,-0.40084449551804635,-1.5707963267948966
