t,selected_action,selection_reason,target_source,min_score,selected_score,max_objectness,selected_objectness,selected_terminal_distance,selected_terminal_progress,selected_terminal_lateral_error,detected,confidence
5.674044132232666,7,target_distance_terminal,truth,1.6859760284423828,2.1720218658447266,0.9855061769485474,0.9855061769485474,1.6479354488342322,0.3550504482349669,0.09889175076494235,True,0.9855061769485474
5.677892446517944,7,target_distance_terminal,truth,1.719434142112732,2.248119592666626,0.9898470044136047,0.9898470044136047,1.6533918439539126,0.3493257601115056,0.09447921958481405,True,0.9898470044136047
5.733176231384277,7,target_distance_terminal,truth,1.719434142112732,2.248119592666626,0.9898470044136047,0.9898470044136047,1.653391844121483,0.3493257601258461,0.09447922278976402,True,0.9898470044136047
5.750675916671753,7,target_distance_terminal,truth,1.7283868789672852,2.2299396991729736,0.9908095598220825,0.9908095598220825,1.660298461970035,0.3422768143650186,0.09215083603564525,True,0.9908095598220825
5.781382083892822,7,target_distance_terminal,truth,1.719633936882019,2.1651558876037598,0.9872745275497437,0.9872745275497437,1.6638500822820754,0.339106650993251,0.09887988694187748,True,0.9872745275497437
5.807832717895508,7,target_distance_terminal,truth,1.6898448467254639,2.1118061542510986,0.9880983233451843,0.9880983233451843,1.6557461617066371,0.3473062973117771,0.10022969613312807,True,0.9880983233451843
5.8380467891693115,7,target_distance_terminal,truth,1.6990071535110474,2.123825788497925,0.9883990287780762,0.9883990287780762,1.6588022130522952,0.3442085358859798,0.09963144662470905,True,0.9883990287780762
5.871472597122192,7,target_distance_terminal,truth,1.5913023948669434,2.0215213298797607,0.9893378019332886,0.9893378019332886,1.6373665638271029,0.3661096807485911,0.1063926951367378,True,0.9893378019332886
5.904217004776001,7,target_distance_terminal,truth,1.598233938217163,2.052459716796875,0.9903380274772644,0.9903380274772644,1.6303075399088118,0.37324518802208406,0.10732847386012365,True,0.9903380274772644
5.953082799911499,7,target_distance_terminal,truth,1.609092116355896,2.0444042682647705,0.9897965788841248,0.9897965788841248,1.6358543552738596,0.36756064738150235,0.1053992158381486,True,0.9897965788841248
6.015025854110718,7,target_distance_terminal,truth,1.6125859022140503,2.082902193069458,0.9900942444801331,0.9900942444801331,1.6430868920792263,0.36019533481024285,0.10355057834946482,True,0.9900942444801331
6.0377442836761475,7,target_distance_terminal,truth,1.6714653968811035,2.108247756958008,0.990742027759552,0.990742027759552,1.6469580342101147,0.3561478632866472,0.10083807261217367,True,0.990742027759552
6.073491811752319,7,target_distance_terminal,truth,1.6313438415527344,2.089071750640869,0.9900774955749512,0.9900774955749512,1.6478133839801008,0.35515184123708105,0.09854363996059985,True,0.9900774955749512
6.10454797744751,7,target_distance_terminal,truth,1.6988624334335327,2.1474781036376953,0.9880598187446594,0.9880598187446594,1.6788550304782954,0.323856443398561,0.09509655900439877,True,0.9880598187446594
6.145356893539429,7,target_distance_terminal,truth,1.6988624334335327,2.1474781036376953,0.9880598187446594,0.9880598187446594,1.6788550304648049,0.3238564434090716,0.0950965589686044,True,0.9880598187446594
6.170335531234741,7,target_distance_terminal,truth,1.7573186159133911,2.199101686477661,0.9841932654380798,0.9841932654380798,1.704843435771459,0.29747872864836084,0.08864525670403978,True,0.9841932654380798
6.205445766448975,0,target_distance_terminal,truth,1.7747665643692017,2.729903221130371,0.9830545783042908,1.539994809718337e-05,1.694538618496332,0.3985374256410153,0.5538298536067667,True,0.9830545783042908
6.2534449100494385,0,target_distance_terminal,truth,1.777051568031311,2.7225685119628906,0.9821817278862,1.626448647584766e-05,1.689789582741147,0.4067305847571269,0.5628769144393984,True,0.9821817278862
6.286516904830933,0,target_distance_terminal,truth,1.8063454627990723,2.7841145992279053,0.9830130934715271,1.825128674681764e-05,1.6629780857915086,0.4562303263808675,0.6182409797232867,True,0.9830130934715271
6.326402187347412,7,target_distance_terminal,truth,1.7861669063568115,2.1945958137512207,0.9844220876693726,0.9844220876693726,1.687715525672617,0.3151195338505,0.09750689888320566,True,0.9844220876693726
