t,x,y,z,vx,vy,vz,target_x,target_y,target_z,dist3,dist_xy
0.12301898002624512,0.0,0.0,2.0079999137073963,0.0,0.0,2.3810057922308254e-09,2.0,0.0,2.0,2.000015999590835,2.0
0.13298392295837402,0.0,0.0,2.007999913710821,0.0,0.0,-1.8383311216728229e-09,2.0,0.0,2.0,2.0000159995908486,2.0
0.14297056198120117,0.0,0.0,2.0079999136681748,0.0,0.0,-6.79636110432185e-09,2.0,0.0,2.0,2.0000159995906777,2.0
0.1530005931854248,0.0,0.0,2.0079999135759046,0.0,0.0,-1.1262027505198272e-08,2.0,0.0,2.0,2.0000159995903086,2.0
0.16299986839294434,0.0,0.0,2.0079999134507975,0.0,0.0,-1.341998072593279e-08,2.0,0.0,2.0,2.0000159995898086,2.0
0.17301440238952637,0.0,0.0,2.0079999133133644,0.0,0.0,-1.3815219721477449e-08,2.0,0.0,2.0,2.000015999589259,2.0
0.18307828903198242,0.0,0.0,2.0079999131788333,0.0,0.0,-1.2904607878967788e-08,2.0,0.0,2.0,2.0000159995887206,2.0
0.1930253505706787,0.0,0.0,2.0079999130584882,0.0,0.0,-1.1026597907995764e-08,2.0,0.0,2.0,2.000015999588239,2.0
0.203016996383667,0.0,0.0,2.0079999129606847,0.0,0.0,-8.431921808027044e-09,2.0,0.0,2.0,2.000015999587848,2.0
0.21300458908081055,0.0,0.0,2.007999912891614,0.0,0.0,-5.306326398359305e-09,2.0,0.0,2.0,2.0000159995875717,2.0
0.2230820655822754,0.0,0.0,2.0079999128558645,0.0,0.0,-1.7874162997042367e-09,2.0,0.0,2.0,2.0000159995874287,2.0
0.23301434516906738,0.0,0.0,2.0079999128568318,0.0,0.0,2.0228685220220406e-09,2.0,0.0,2.0,2.0000159995874327,2.0
0.24304819107055664,0.0,0.0,2.007999912897036,0.0,0.0,6.04900900902946e-09,2.0,0.0,2.0,2.0000159995875935,2.0
0.25303173065185547,0.0,0.0,2.007999912975515,0.0,0.0,9.195458509450555e-09,2.0,0.0,2.0,2.0000159995879074,2.0
0.2631385326385498,0.0,0.0,2.0079999130721298,0.0,0.0,9.747255543320592e-09,2.0,0.0,2.0,2.000015999588294,2.0
0.2729980945587158,0.0,0.0,2.0079999131638955,0.0,0.0,8.323768528946391e-09,2.0,0.0,2.0,2.0000159995886606,2.0
0.2835249900817871,0.0,0.0,2.0079999132337423,0.0,0.0,5.436955135568184e-09,2.0,0.0,2.0,2.00001599958894,2.0
0.2930328845977783,0.0,0.0,2.0079999132690323,0.0,0.0,1.4660828939606438e-09,2.0,0.0,2.0,2.000015999589081,2.0
0.3030052185058594,0.0,0.0,2.0079999132603987,0.0,0.0,-3.307879926413533e-09,2.0,0.0,2.0,2.000015999589047,2.0
0.31302618980407715,0.0,0.0,2.007999913203727,0.0,0.0,-7.637186077514106e-09,2.0,0.0,2.0,2.00001599958882,2.0
0.32305216789245605,0.0,0.0,2.0079999131153987,0.0,0.0,-9.694121099308566e-09,2.0,0.0,2.0,2.000015999588467,2.0
0.3330395221710205,0.0,0.0,2.007999913015616,0.0,0.0,-1.001452399847834e-08,2.0,0.0,2.0,2.0000159995880677,2.0
0.3430507183074951,0.0,0.0,2.007999912919384,0.0,0.0,-9.048472226294883e-09,2.0,0.0,2.0,2.0000159995876827,2.0
0.35304737091064453,0.0,0.0,2.0079999128378145,0.0,0.0,-7.1293913568693755e-09,2.0,0.0,2.0,2.0000159995873563,2.0
0.3630344867706299,0.0,0.0,2.0079999127791424,0.0,0.0,-4.504289183636412e-09,2.0,0.0,2.0,2.000015999587122,2.0
0.37305617332458496,0.0,0.0,2.0079999127494674,0.0,0.0,-1.3561535654430937e-09,2.0,0.0,2.0,2.0000159995870033,2.0
0.38306593894958496,0.0,0.0,2.0079999127533092,0.0,0.0,2.1794547766156126e-09,2.0,0.0,2.0,2.0000159995870184,2.0
0.39302992820739746,0.0,0.0,2.0079999127940114,0.0,0.0,6.002109969910981e-09,2.0,0.0,2.0,2.0000159995871813,2.0
0.40300965309143066,0.0,0.0,2.007999912874056,0.0,0.0,1.003741469487929e-08,2.0,0.0,2.0,2.0000159995875015,2.0
0.41305994987487793,0.0,0.0,2.007999912992453,0.0,0.0,1.3190653257563293e-08,2.0,0.0,2.0,2.000015999587975,2.0
0.42301034927368164,0.0,0.0,2.007999913129048,0.0,0.0,1.3747479759488502e-08,2.0,0.0,2.0,2.000015999588521,2.0
0.4329979419708252,0.0,0.0,2.0079999132608344,0.0,0.0,1.232771870439853e-08,2.0,0.0,2.0,2.0000159995890487,2.0
0.4430053234100342,0.0,0.0,2.0079999133707376,0.0,0.0,9.44366549266946e-09,2.0,0.0,2.0,2.000015999589488,2.0
0.453052282333374,0.0,0.0,2.007999913446104,0.0,0.0,5.474837987471735e-09,2.0,0.0,2.0,2.0000159995897895,2.0
0.4630703926086426,0.0,0.0,2.0079999134775637,0.0,0.0,7.0238991630873e-10,2.0,0.0,2.0,2.0000159995899156,2.0
0.47301149368286133,0.0,0.0,2.0079999134609996,0.0,0.0,-3.6257940564503195e-09,2.0,0.0,2.0,2.000015999589849,2.0
0.48304295539855957,0.0,0.0,2.007999913412788,0.0,0.0,-5.6818977564244576e-09,2.0,0.0,2.0,2.0000159995896563,2.0
0.4930398464202881,0.0,0.0,2.007999913353132,0.0,0.0,-6.001684699297645e-09,2.0,0.0,2.0,2.000015999589418,2.0
0.5029983520507812,0.0,0.0,2.0079999132970285,0.0,0.0,-5.035176596660626e-09,2.0,0.0,2.0,2.0000159995891935,2.0
0.5131573677062988,0.0,0.0,2.007999913255594,0.0,0.0,-3.1157576966025356e-09,2.0,0.0,2.0,2.0000159995890274,2.0
0.5230026245117188,0.0,0.0,2.00799991323706,0.0,0.0,-4.90405098285696e-10,2.0,0.0,2.0,2.0000159995889533,2.0
0.5329957008361816,0.0,0.0,2.0079999132475246,0.0,0.0,2.6579160122217853e-09,2.0,0.0,2.0,2.0000159995889955,2.0
0.5430128574371338,0.0,0.0,2.0079999132915067,0.0,0.0,6.193661767959096e-09,2.0,0.0,2.0,2.0000159995891713,2.0
0.5529887676239014,0.0,0.0,2.0079999133695283,0.0,0.0,8.97681790377118e-09,2.0,0.0,2.0,2.0000159995894835,2.0
0.5630366802215576,0.0,0.0,2.0079999134625437,0.0,0.0,9.259480597899672e-09,2.0,0.0,2.0,2.000015999589855,2.0
0.5729906558990479,0.0,0.0,2.007999913548383,0.0,0.0,7.636613959972735e-09,2.0,0.0,2.0,2.0000159995901985,2.0
0.5830113887786865,0.0,0.0,2.0079999136105844,0.0,0.0,4.6020964992831196e-09,2.0,0.0,2.0,2.0000159995904476,2.0
