t,selected_action,selection_reason,target_source,min_score,selected_score,max_objectness,selected_objectness,selected_terminal_distance,selected_terminal_progress,selected_terminal_lateral_error,detected,confidence
3.6036176681518555,5,target_distance_no_recent_target,detector,4.216910362243652,4.216910362243652,1.9059729794435043e-08,2.5203542594956496e-13,,,,False,1.9059729794435043e-08
3.6342196464538574,3,target_distance_no_recent_target,detector,4.445670127868652,4.445670127868652,3.4890241806806443e-08,2.1776190046459516e-16,,,,False,3.4890241806806443e-08
3.664945602416992,3,target_distance_no_recent_target,detector,4.9437642097473145,4.9437642097473145,7.355460240887624e-08,5.686493752107477e-16,,,,False,7.355460240887624e-08
3.6987810134887695,4,target_distance_no_recent_target,detector,5.962347030639648,5.962347030639648,2.560014706887159e-07,1.5300547016438432e-13,,,,False,2.560014706887159e-07
3.7501983642578125,8,target_distance_no_recent_target,detector,5.78257942199707,5.78257942199707,2.035120729715345e-07,1.283324032978761e-13,,,,False,2.035120729715345e-07
3.834904193878174,3,target_distance_no_recent_target,detector,5.451223850250244,5.451223850250244,1.39885543148921e-07,5.446890895339693e-16,,,,False,1.39885543148921e-07
3.852959632873535,3,target_distance_no_recent_target,detector,6.017778396606445,6.017778396606445,1.216146756632952e-07,4.4014960667282366e-16,,,,False,1.216146756632952e-07
3.856062889099121,3,target_distance_no_recent_target,detector,5.884263515472412,5.884263515472412,1.4649174318037694e-07,6.407511490216387e-16,,,,False,1.4649174318037694e-07
3.881322145462036,3,target_distance_no_recent_target,detector,6.8831963539123535,6.8831963539123535,8.697983844285773e-08,4.5048780261274e-16,,,,False,8.697983844285773e-08
3.900176525115967,3,target_distance_no_recent_target,detector,7.4209675788879395,7.4209675788879395,5.377533085493269e-08,2.0958500173382677e-16,,,,False,5.377533085493269e-08
3.929630994796753,4,target_distance_no_recent_target,detector,7.029416561126709,7.029416561126709,3.550747607050653e-08,5.021949653002955e-13,,,,False,3.550747607050653e-08
3.9643537998199463,4,target_distance_no_recent_target,detector,7.386972427368164,7.386972427368164,1.612947642115614e-08,4.73454175170529e-13,,,,False,1.612947642115614e-08
3.9978668689727783,8,target_distance_no_recent_target,detector,7.114118576049805,7.114118576049805,4.8393551388414835e-09,1.7098703434582398e-14,,,,False,4.8393551388414835e-09
4.0323662757873535,8,target_distance_no_recent_target,detector,7.549994945526123,7.549994945526123,1.0481526757644133e-08,7.516705899206222e-15,,,,False,1.0481526757644133e-08
4.065568208694458,0,target_distance_no_recent_target,detector,5.743026256561279,5.743026256561279,5.6826888084060556e-08,2.6495480614195654e-13,,,,False,5.6826888084060556e-08
4.101403713226318,8,target_distance_no_recent_target,detector,5.0712809562683105,5.0712809562683105,5.031334353589045e-07,1.7132728070447245e-13,,,,False,5.031334353589045e-07
4.132361888885498,5,target_distance_no_recent_target,detector,6.531430721282959,6.531430721282959,6.794726346015523e-07,1.3635966677636932e-14,,,,False,6.794726346015523e-07
4.165468692779541,8,target_distance_no_recent_target,detector,6.131829261779785,6.131829261779785,4.685190901909664e-07,1.4009752830491246e-13,,,,False,4.685190901909664e-07
4.198849201202393,8,target_distance_no_recent_target,detector,6.603819370269775,6.603819370269775,6.498659672615759e-07,4.586781326390739e-14,,,,False,6.498659672615759e-07
4.24369740486145,5,target_distance_no_recent_target,detector,7.672725200653076,7.672725200653076,7.074546601870679e-07,2.0191859387850078e-14,,,,False,7.074546601870679e-07
4.2649877071380615,5,target_distance_no_recent_target,detector,6.426661968231201,6.426661968231201,5.175326691642113e-07,1.9142444858508308e-14,,,,False,5.175326691642113e-07
4.298182249069214,5,target_distance_no_recent_target,detector,5.474713325500488,5.474713325500488,5.697150413652707e-07,1.6417961689598956e-14,,,,False,5.697150413652707e-07
4.333153009414673,5,target_distance_no_recent_target,detector,4.159451484680176,4.159451484680176,5.508959475264419e-07,1.947277076727854e-14,,,,False,5.508959475264419e-07
4.375681161880493,5,target_distance_no_recent_target,detector,3.369568347930908,3.369568347930908,2.8077727165509714e-07,3.080435890092173e-14,,,,False,2.8077727165509714e-07
4.398544073104858,5,target_distance_no_recent_target,detector,3.5994246006011963,3.5994246006011963,5.6189801256323335e-08,1.651995800897553e-14,,,,False,5.6189801256323335e-08
4.4376749992370605,5,target_distance_no_recent_target,detector,3.619194984436035,3.619194984436035,1.910049007847192e-08,4.7215354591562467e-14,,,,False,1.910049007847192e-08
4.47245979309082,5,target_distance_no_recent_target,detector,4.411527156829834,4.411527156829834,1.8440327043123261e-09,1.0311325767840482e-13,,,,False,1.8440327043123261e-09
4.499374151229858,5,target_distance_no_recent_target,detector,1.5039359331130981,1.5039359331130981,3.953389837718646e-10,2.856088033176968e-13,,,,False,3.953389837718646e-10
4.534603595733643,5,target_distance_no_recent_target,detector,1.6991312503814697,1.6991312503814697,4.4579309688153046e-10,7.075261465030666e-14,,,,False,4.4579309688153046e-10
4.575727701187134,6,target_distance_no_recent_target,detector,2.120889186859131,2.120889186859131,1.1308437519730319e-09,1.1798493869993442e-14,,,,False,1.1308437519730319e-09
4.601962327957153,5,target_distance_no_recent_target,detector,1.6378930807113647,1.6378930807113647,2.5758795096919584e-09,5.072061748465778e-14,,,,False,2.5758795096919584e-09
4.635762691497803,3,target_distance_no_recent_target,detector,2.729982376098633,2.729982376098633,3.53293172494773e-09,1.5429315593529145e-17,,,,False,3.53293172494773e-09
