pred_t,truth_t,dt,pred_x,pred_y,pred_z,truth_x,truth_y,truth_z,err_x,err_y,err_z,err_xy,err_3d,err_z_abs
1783055330.8833182,1783055330.8833182,0.0,6.906059187566862,-0.08415123713827026,2.5180314593973834,6.999995708465576,0.0,2.0,-0.09393652089871374,-0.08415123713827026,0.5180314593973834,0.12611701182019766,0.5331623520053144,0.5180314593973834
1783055330.9166548,1783055330.9166548,0.0,6.1509822062174555,-0.7508740032731093,2.4335273271989197,7.100006103515625,0.0,2.0,-0.9490238972981695,-0.7508740032731093,0.43352732719891973,1.2101479770814774,1.2854587001777347,0.43352732719891973
1783055330.9499846,1783055330.9499846,0.0,5.909613480181761,-0.9930408493089303,2.415653194278391,7.1999945640563965,0.0,2.0,-1.2903810838746352,-0.9930408493089303,0.415653194278391,1.6282547313051727,1.680470484100066,0.415653194278391
1783055330.9833152,1783055330.9833152,0.0,5.712892637170181,-1.2394423649597084,2.427774372848672,7.299986839294434,0.0,2.0,-1.587094202124253,-1.2394423649597084,0.4277743728486718,2.0137242568120723,2.058658858708603,0.4277743728486718
1783055331.0166514,1783055331.0166514,0.0,5.702519704406292,-1.3159266932715945,2.420828113892387,7.399995803833008,0.0,2.0,-1.6974760994267157,-1.3159266932715945,0.42082811389238683,2.147810087086298,2.188649006038171,0.42082811389238683
1783055331.0499864,1783055331.0499864,0.0,5.692147142575903,-1.3924082865228924,2.4138821033325972,7.500000476837158,0.0,2.0,-1.8078533342612548,-1.3924082865228924,0.41388210333259723,2.28191465979277,2.3191448661168557,0.41388210333259723
1783055331.0833247,1783055331.0833247,0.0,5.681773542131715,-1.4688975379438372,2.4069353972626204,7.600015163421631,0.0,2.0,-1.9182416212899156,-1.4688975379438372,0.4069353972626204,2.4160527507954854,2.4500831235228975,0.4069353972626204
1783055331.1166375,1783055331.1166375,0.0,5.418139503956572,-1.6369782992356041,2.4570922715381585,7.699954032897949,0.0,2.0,-2.2818145289413776,-1.6369782992356041,0.45709227153815846,2.808269128245413,2.845225622223335,0.45709227153815846
1783055331.1499887,1783055331.1499887,0.0,5.141398386635454,-1.8041020533251202,2.506536802138543,7.800006866455078,0.0,2.0,-2.658608479819624,-1.8041020533251202,0.5065368021385428,3.21293997263888,3.2526239868299363,0.5065368021385428
1783055331.1833134,1783055331.1833134,0.0,5.000288237388497,-1.9150666115654489,2.517369562255867,7.899981498718262,0.0,2.0,-2.899693261329765,-1.9150666115654489,0.5173695622558672,3.4750109548797137,3.5133135926761287,0.5173695622558672
