t,detected,confidence,max_objectness,target_source,selection_reason
1783055330.896721,False,0.05858490616083145,0.05858490616083145,truth,target_distance_terminal
1783055330.9223995,True,0.8687425851821899,0.8687425851821899,truth,target_distance_terminal
1783055330.9550755,True,0.690461277961731,0.690461277961731,truth,target_distance_terminal
1783055330.9883296,True,0.8436520099639893,0.8436520099639893,truth,target_distance_terminal
1783055331.0219347,False,0.19362202286720276,0.19362202286720276,truth,target_distance_terminal
1783055331.0550122,False,0.2688393294811249,0.2688393294811249,truth,target_distance_terminal
1783055331.088388,False,0.2526671886444092,0.2526671886444092,truth,target_distance_terminal
1783055331.1220798,True,0.6108918190002441,0.6108918190002441,truth,target_distance_terminal
1783055331.1553643,True,0.8048243522644043,0.8048243522644043,truth,target_distance_terminal
1783055331.1884315,True,0.687027096748352,0.687027096748352,truth,target_distance_terminal
1783055331.2224329,True,0.8731184601783752,0.8731184601783752,truth,target_distance_terminal
1783055331.255381,True,0.8533579707145691,0.8533579707145691,truth,target_distance_terminal
1783055331.2891057,True,0.5794318914413452,0.5794318914413452,truth,target_distance_terminal
1783055331.3207316,True,0.676029622554779,0.676029622554779,truth,target_distance_terminal
1783055331.3552046,True,0.6145374774932861,0.6145374774932861,truth,target_distance_terminal
1783055331.3883865,True,0.6673398613929749,0.6673398613929749,truth,target_distance_terminal
1783055331.4213102,True,0.8234652280807495,0.8234652280807495,truth,target_distance_terminal
1783055331.454788,True,0.6519190669059753,0.6519190669059753,truth,target_distance_terminal
1783055331.4886274,True,0.9026522040367126,0.9026522040367126,truth,target_distance_terminal
1783055331.5211294,True,0.9120603799819946,0.9120603799819946,truth,target_distance_terminal
1783055331.5548396,True,0.9278020262718201,0.9278020262718201,truth,target_distance_terminal
1783055331.596713,True,0.9384479522705078,0.9384479522705078,truth,target_distance_terminal
1783055331.6214375,True,0.9668622612953186,0.9668622612953186,truth,target_distance_terminal
1783055331.6647186,True,0.9591336846351624,0.9591336846351624,truth,target_distance_terminal
1783055331.6889236,True,0.973839282989502,0.973839282989502,truth,target_distance_terminal
1783055331.7214708,True,0.9192575812339783,0.9192575812339783,truth,target_distance_terminal
1783055331.7558002,True,0.8752841949462891,0.8752841949462891,truth,target_distance_terminal
1783055331.7889833,True,0.862587034702301,0.862587034702301,truth,target_distance_terminal
1783055331.8214142,True,0.9430087804794312,0.9430087804794312,truth,target_distance_terminal
1783055331.8545463,True,0.9529930353164673,0.9529930353164673,truth,target_distance_terminal
1783055331.8884857,True,0.945468544960022,0.945468544960022,truth,target_distance_terminal
1783055331.9327116,True,0.9123217463493347,0.9123217463493347,truth,target_distance_terminal
1783055331.9554243,True,0.9077571034431458,0.9077571034431458,truth,target_distance_terminal
1783055331.9886186,True,0.9366698265075684,0.9366698265075684,truth,target_distance_terminal
1783055332.021338,True,0.9417721033096313,0.9417721033096313,truth,target_distance_terminal
1783055332.0561395,True,0.9481192231178284,0.9481192231178284,truth,target_distance_terminal
1783055332.089023,True,0.9575967788696289,0.9575967788696289,truth,target_distance_terminal
1783055332.1206017,True,0.986772358417511,0.986772358417511,truth,target_distance_terminal
1783055332.1548245,True,0.9775744080543518,0.9775744080543518,truth,target_distance_terminal
1783055332.1888237,True,0.9849115610122681,0.9849115610122681,truth,target_distance_terminal
1783055332.2225115,True,0.9678525924682617,0.9678525924682617,truth,target_distance_terminal
1783055332.2687683,True,0.982508659362793,0.982508659362793,truth,target_distance_terminal
1783055332.288496,True,0.9673509001731873,0.9673509001731873,truth,target_distance_terminal
1783055332.321394,True,0.9670119285583496,0.9670119285583496,truth,target_distance_terminal
1783055332.3560147,True,0.9524337649345398,0.9524337649345398,truth,target_distance_terminal
1783055332.389091,True,0.9500110745429993,0.9500110745429993,truth,target_distance_terminal
1783055332.4203947,True,0.9892258048057556,0.9892258048057556,truth,target_distance_terminal
1783055332.4550679,True,0.9987214207649231,0.9987214207649231,truth,target_distance_terminal
1783055332.488573,True,0.9956080317497253,0.9956080317497253,truth,target_distance_terminal
1783055332.5218534,True,0.9981945157051086,0.9981945157051086,truth,target_distance_terminal
1783055332.5551734,True,0.9967586398124695,0.9967586398124695,truth,target_distance_terminal
1783055332.5885825,True,0.9971809387207031,0.9971809387207031,truth,target_distance_terminal
1783055332.6213841,True,0.9972783923149109,0.9972783923149109,truth,target_distance_terminal
