t,x,y,z,vx,vy,vz,ax,ay,az,yaw,yaw_dot
3.630157947540283,4.902520279427516e-08,-3.6120142943422545e-08,2.0079999181213983,7.3490422930919804e-06,-5.412445810715494e-06,1.8015919598016053e-06,0.0007339569019715724,-0.0005401298985620615,0.00017892137708212813,-0.031415926535897754,-1.5707963267948966
3.650270462036133,1.957815892540649e-07,-1.3916345844441027e-07,2.007999954292331,2.2022906549138736e-05,-1.5468392510085745e-05,5.3574735133009575e-06,0.001467381489484255,-0.0010057442835536923,0.0003546349688313288,-0.06283185307179551,-1.5707963267948966
3.6699860095977783,3.496278210105602e-07,-2.3789876326638632e-07,2.0079692898791563,3.691236326334714e-05,-2.5118353057671923e-05,-0.0010270112975384273,0.002193200856443343,-0.0014874830231494027,0.0005346172893305444,-0.09424777960769326,-1.5707963267948966
3.6901543140411377,1.5746208141175464e-06,-1.0695758564896917e-06,2.00794886846643,8.798751544779547e-05,-5.963499739596234e-05,-0.0010145373002047617,0.0029133749739475856,-0.0019631757669953086,0.0007124198876888841,-0.12566370614359101,-1.5707963267948966
3.710139751434326,9.471571747275657e-07,-6.119403390344187e-07,2.007749938088227,7.466267619693036e-05,-4.955120617461233e-05,-0.00563939141592875,0.0036162699904999465,-0.002438720663790066,0.0009190732146797689,-0.09424777960769326,1.5707963267948966
3.7302281856536865,3.2102490952585095e-06,-2.1221092165150697e-06,2.00763734772727,0.00015397115603962814,-0.00010303068437144194,-0.005618964108664473,0.004313662336424368,-0.0029082219088332703,0.001123244698451799,-0.08800286096210641,0.3122459322793425
3.750178575515747,2.3986441467786508e-06,-1.4938881538469304e-06,2.0074521447805864,0.00012963191192473788,-8.383454587297929e-05,-0.009364914104400775,0.004988465701289014,-0.0032903499911379245,0.001349273841473118,-0.05658693442620866,1.5707963267948966
3.7699501514434814,5.4703647500124035e-06,-3.3275184254512675e-06,2.006929273129169,0.0001969625340222724,-0.00011983181889308023,-0.0166634126602616,0.005560642358478506,-0.0031135650266365285,0.0016235558303384248,-0.05987056227452259,-0.16418139241569651
3.790109395980835,1.0559680136798959e-05,-6.335137884973654e-06,2.006596347710749,0.0003138623410440995,-0.00018034455860584938,-0.016628225692251433,0.0061286434878898,-0.0029378944445443227,0.0018946028809712237,-0.08117210862054502,-1.0650773173011219
3.8100056648254395,1.4011427195715394e-05,-8.441833924600631e-06,2.0056323814081827,0.0003417542687290224,-0.00018915892273024985,-0.031784775007576614,0.006796018551309728,-0.002686191123032204,0.00226748722515888,-0.04975618208464727,1.5707963267948966
3.830292224884033,2.224994410011461e-05,-1.274558405813798e-05,2.0049971640485733,0.00048430442295110206,-0.00024038465436609387,-0.031735732388281646,0.007458119203618156,-0.002436760117306093,0.0026360570209969826,-0.06853952358590876,-0.9391670750630743
3.8501462936401367,2.5111134493129782e-05,-1.5114138674589029e-05,2.0045130456756803,0.0005021440385160656,-0.00026249652279035796,-0.03613313379654936,0.008643496898302632,-0.0025269847576975947,0.0030268974204109805,-0.05010598822550616,0.9216767680201299
3.870004415512085,4.752341315027648e-05,-2.838752640749583e-05,2.003008907726658,0.0007444914764612651,-0.00038422794222106745,-0.03727831719423673,0.009957513612758906,-0.0027496239992609575,0.0034189882734314346,-0.08152191476140391,-1.5707963267948966
