action_id,score,objectness,target_u,target_v,target_depth,end_x_rel,end_y_rel,end_z_rel,end_x_world,end_y_world,end_z_world,pred_target_x_world,pred_target_y_world,pred_target_z_world,dist_end_to_true_root,dist_end_to_pred_target,bearing_end_deg,bearing_pred_target_deg,is_min_score,is_max_objectness,is_paper,is_requested
0,2.6401803493499756,0.0001759395672706887,23.074941635131836,17.500675201416016,2.005917549133301,0.03588591516017914,0.04431473836302757,0.03992210328578949,0.03588591516017914,0.04431473836302757,2.048627136533303,2.005917549133301,1.4273371694940806,2.7164258455642942,2.568688540448316,2.4979453155843734,50.99957239839709,35.43425611930152,False,False,False,False
1,2.583014965057373,8.365934627363458e-05,54.29874801635742,13.978382110595703,2.0469226837158203,0.004066769964993,0.0026405686512589455,0.0033951925579458475,0.004066769964993,0.0026405686512589455,2.0121002258054594,2.0469226837158203,0.6576059460651777,2.82339570149277,2.569562624888473,2.293564971573377,32.99581157307368,17.810427909500657,False,False,False,False
2,2.06473970413208,0.4568968415260315,87.5844497680664,17.38909149169922,2.2613365650177,0.010921449400484562,-0.002193187130615115,0.007799950428307056,0.010921449400484562,-0.002193187130615115,2.0165049836758207,2.2613365650177,-0.21438741982585724,2.8097792630992453,2.567023526514044,2.395553937481334,-11.354806673268108,-5.415774876179993,False,False,False,False
3,2.305138111114502,3.473514652796439e-06,110.37140655517578,12.915239334106445,1.5761691331863403,0.01892041228711605,-0.012285630218684673,0.01579613983631134,0.01892041228711605,-0.012285630218684673,2.024501173083825,1.5761691331863403,-0.5983809192965168,2.657531386457922,2.5659332837621003,1.780241140313849,-32.996955760045644,-20.788894318880665,False,False,False,False
4,2.990562677383423,1.3767149539489765e-05,141.2635040283203,18.471580505371094,2.000800132751465,0.05140106752514839,-0.06343008577823639,0.05716495215892792,0.05140106752514839,-0.06343008577823639,2.0658699854064415,2.000800132751465,-1.5322003374085398,2.6896969278731673,2.5684390675218927,2.5192464789549205,-50.98014936991079,-37.44466845281212,False,False,False,False
5,2.1664223670959473,7.238129910547286e-05,20.775146484375,43.89381408691406,1.90369713306427,0.01975558139383793,0.024394260719418526,0.00841034296900034,0.01975558139383793,0.024394260719418526,2.017115376216514,1.90369713306427,1.4093272980480833,2.0357230109108255,2.5606866030724964,2.3382945776919795,50.99787430119498,36.51294110458754,False,False,False,False
6,1.856784462928772,0.00020090855832677335,54.21764373779297,38.69548797607422,2.2930197715759277,0.001133274519816041,0.0007348607759922743,0.00036191308754496276,0.001133274519816041,0.0007348607759922743,2.0090669463350586,2.2930197715759277,0.7389931583381895,2.1941803560758326,2.56993308573154,2.4149608700294554,32.96099749182957,17.863064683527274,False,False,False,False
7,1.757075548171997,0.9007318019866943,85.0936050415039,43.5211067199707,2.146632432937622,0.18351347744464874,-0.044774483889341354,0.050613343715667725,0.18351347744464874,-0.044774483889341354,2.0593183769631813,2.146632432937622,-0.13667622228333584,2.0494356870275623,2.464869070957104,1.96529377714784,-13.711410416273347,-3.643108298642023,False,True,True,True
8,2.5471410751342773,6.633917109866161e-06,111.77059936523438,42.7012825012207,1.7005966901779175,0.0008516195812262595,-0.0005522836581803858,0.0002719747426453978,0.0008516195812262595,-0.0005522836581803858,2.008977007990159,1.7005966901779175,-0.6753622015685777,2.0588599819103663,2.570095591617047,1.8294780789654497,-32.963804720411055,-21.659635018405453,False,False,False,False
9,2.4615936279296875,6.968660272832494e-06,141.01791381835938,41.25529861450195,2.0184593200683594,0.06013714522123337,-0.07415018230676651,0.025580929592251778,0.06013714522123337,-0.07415018230676651,2.0342859628397654,2.0184593200683594,-1.5395272104724427,2.105680985164057,2.5416058645287825,2.4469272209010087,-50.95731952113301,-37.33363253033714,False,False,False,False
10,1.7545849084854126,4.2492109059821814e-05,17.87795639038086,76.64344787597656,1.7787652015686035,0.005648481193929911,0.006971471011638641,-0.0007853311253711581,0.005648481193929911,0.006971471011638641,2.0079197021221424,1.7787652015686035,1.3812566177889722,1.2865519302005737,2.5657102380611576,2.356474916287488,50.984639365781234,37.830252212192306,False,False,False,False
11,1.7281240224838257,0.004567327443510294,54.37650680541992,70.410888671875,2.125777006149292,0.001504817744717002,0.0009697871282696724,-0.0001566306164022535,0.001504817744717002,0.0009697871282696724,2.0085484026311113,2.125777006149292,0.680872908128265,1.3156552732181632,2.5693182692568963,2.3355730502731795,32.79995344084491,17.75993316954288,False,False,False,False
12,1.6395200490951538,0.0029789458494633436,84.33985137939453,68.61214447021484,2.114712715148926,0.03796416521072388,0.0049576000310480595,-0.0033500485587865114,0.03796416521072388,0.0049576000310480595,2.005354984688727,2.114712715148926,-0.11471923617327776,1.3680656000533773,2.539038931241911,2.1756251617783806,7.439944128706413,-3.105145979361588,True,False,False,False
13,2.009514570236206,4.096999327884987e-05,114.93373107910156,68.66203308105469,1.7457247972488403,0.00041399025940336287,-0.0002662977494765073,-4.3065632780781016e-05,0.00041399025940336287,-0.0002662977494765073,2.008661967614733,1.7457247972488403,-0.7623085075651261,1.4787308710525453,2.5702380214035414,1.976776444021539,-32.751005050984794,-23.589528978507804,False,False,False,False
14,2.7773075103759766,0.0001628916506888345,142.6744384765625,65.65829467773438,1.9663417339324951,0.001326779369264841,-0.0016360615845769644,-0.0001842891360865906,0.001326779369264841,-0.0016360615845769644,2.008520744111427,1.9663417339324951,-1.5404920503406174,1.4875339349403118,2.5694397116842516,2.549664444807937,-50.95935404401194,-38.07623120964035,False,False,False,False
